,Batter,Batter_Handedness,Pitcher_Handedness,Stadium,Batter_Home,Date,Position_In_Lineup,Pitcher,Batting_Average,Number_Of_Plate_Appearances,Batter_Age,Batter_Exp,Pitcher_Age,Pitcher_Exp,Number_Of_Hits,ERA,Stadium_Turf,Stadium_Dome,Difference_Batter_And_Pitcher,Hit,No_Hit,DateTime,Hit_Prob
0,664,1,1,PIT,1,2016-04-03,1,210,0.25,5,35,10,37,14,1,0.0,0,0,0,1,0,2016-04-03,0.2
1,245,0,1,PIT,1,2016-04-03,2,210,0.0,1,32,7,37,14,0,0.0,0,0,1,0,1,2016-04-03,0.0
2,422,0,1,PIT,1,2016-04-03,3,210,0.333,4,40,15,37,14,1,0.0,0,0,1,1,0,2016-04-03,0.25
3,128,0,1,PIT,1,2016-04-03,4,210,0.25,4,29,7,37,14,1,0.0,0,0,1,1,0,2016-04-03,0.25
4,386,0,1,PIT,1,2016-04-03,5,210,0.0,4,29,6,37,14,0,0.0,0,0,1,0,1,2016-04-03,0.0
5,754,0,1,PIT,1,2016-04-03,6,210,0.667,4,38,17,37,14,2,0.0,0,0,1,1,0,2016-04-03,0.5
6,573,1,1,PIT,1,2016-04-03,7,210,0.0,4,30,8,37,14,0,0.0,0,0,0,0,1,2016-04-03,0.0
7,307,0,1,PIT,1,2016-04-03,8,210,0.0,4,32,8,37,14,0,0.0,0,0,1,0,1,2016-04-03,0.0
8,65,0,1,PIT,1,2016-04-03,9,210,0.0,2,39,15,37,14,0,0.0,0,0,1,0,1,2016-04-03,0.0
9,244,1,0,PIT,0,2016-04-03,1,101,0.25,4,37,9,39,15,1,4.5,0,0,1,1,0,2016-04-03,0.25
10,357,0,0,PIT,0,2016-04-03,2,101,0.0,4,34,12,39,15,0,4.5,0,0,0,0,1,2016-04-03,0.0
11,634,0,0,PIT,0,2016-04-03,3,101,0.5,4,37,11,39,15,2,4.5,0,0,0,1,0,2016-04-03,0.5
12,554,0,0,PIT,0,2016-04-03,4,101,0.0,4,32,9,39,15,0,4.5,0,0,0,0,1,2016-04-03,0.0
13,612,0,0,PIT,0,2016-04-03,5,101,0.667,4,34,13,39,15,2,4.5,0,0,0,1,0,2016-04-03,0.5
14,26,1,0,PIT,0,2016-04-03,6,101,0.667,4,29,7,39,15,2,4.5,0,0,1,1,0,2016-04-03,0.5
15,767,0,0,PIT,0,2016-04-03,7,101,0.0,4,33,10,39,15,0,4.5,0,0,0,0,1,2016-04-03,0.0
16,490,0,0,PIT,0,2016-04-03,8,101,0.333,4,34,9,39,15,1,4.5,0,0,0,1,0,2016-04-03,0.25
17,152,1,0,PIT,0,2016-04-03,9,101,0.5,2,37,14,39,15,1,4.5,0,0,1,1,0,2016-04-03,0.5
18,158,0,0,TB,1,2016-04-03,1,302,0.4,5,31,8,32,8,2,3.6,1,2,0,1,0,2016-04-03,0.4
19,836,0,0,TB,1,2016-04-03,2,302,0.2,5,35,10,32,8,1,3.6,1,2,0,1,0,2016-04-03,0.2
20,218,0,0,TB,1,2016-04-03,3,302,0.0,4,40,15,32,8,0,3.6,1,2,0,0,1,2016-04-03,0.0
21,122,0,0,TB,1,2016-04-03,4,302,0.5,4,37,16,32,8,2,3.6,1,2,0,1,0,2016-04-03,0.5
22,551,0,0,TB,1,2016-04-03,5,302,0.333,4,36,13,32,8,1,3.6,1,2,0,1,0,2016-04-03,0.25
23,160,0,0,TB,1,2016-04-03,6,302,0.0,4,37,4,32,8,0,3.6,1,2,0,0,1,2016-04-03,0.0
24,809,1,0,TB,1,2016-04-03,7,302,0.0,4,34,9,32,8,0,3.6,1,2,1,0,1,2016-04-03,0.0
25,814,0,0,TB,1,2016-04-03,8,302,0.0,4,37,14,32,8,0,3.6,1,2,0,0,1,2016-04-03,0.0
26,578,1,0,TB,1,2016-04-03,9,302,0.25,4,32,8,32,8,1,3.6,1,2,1,1,0,2016-04-03,0.25
27,844,0,0,TB,0,2016-04-03,1,201,0.0,4,33,10,29,6,0,3.38,1,2,0,0,1,2016-04-03,0.0
28,713,1,0,TB,0,2016-04-03,2,201,0.0,4,33,11,29,6,0,3.38,1,2,1,0,1,2016-04-03,0.0
29,697,0,0,TB,0,2016-04-03,3,201,0.5,4,35,13,29,6,2,3.38,1,2,0,1,0,2016-04-03,0.5
30,81,1,0,TB,0,2016-04-03,4,201,0.25,4,31,8,29,6,1,3.38,1,2,1,1,0,2016-04-03,0.25
31,847,0,0,TB,0,2016-04-03,5,201,0.25,4,34,7,29,6,1,3.38,1,2,0,1,0,2016-04-03,0.25
32,407,1,0,TB,0,2016-04-03,6,201,0.0,4,31,8,29,6,0,3.38,1,2,1,0,1,2016-04-03,0.0
33,838,0,0,TB,0,2016-04-03,7,201,0.25,4,31,6,29,6,1,3.38,1,2,0,1,0,2016-04-03,0.25
34,793,1,0,TB,0,2016-04-03,8,201,0.25,4,30,8,29,6,1,3.38,1,2,1,1,0,2016-04-03,0.25
35,400,1,0,TB,0,2016-04-03,9,201,0.333,4,32,7,29,6,1,3.38,1,2,1,1,0,2016-04-03,0.25
36,190,1,0,KC,1,2016-04-03,1,35,0.25,5,39,16,37,15,1,0.0,0,0,1,1,0,2016-04-03,0.2
37,667,0,0,KC,1,2016-04-03,2,35,0.0,5,38,14,37,15,0,0.0,0,0,0,0,1,2016-04-03,0.0
38,90,0,0,KC,1,2016-04-03,3,35,0.25,5,30,3,37,15,1,0.0,0,0,0,1,0,2016-04-03,0.2
39,241,1,0,KC,1,2016-04-03,4,35,0.25,4,34,10,37,15,1,0.0,0,0,1,1,0,2016-04-03,0.25
